Type	ID	Name	Description	Target	MoA
cp	BRD-K92000912	AM-251	Cannabinoid receptor antagonist	CNR1, GPR18, GPR55	Cannabinoid receptor antagonist
cp	BRD-K59419204	AM-281	Cannabinoid receptor antagonist	CNR1, CNR2, GPR55	Cannabinoid receptor antagonist
cp	BRD-K21667562	AM-404	Cyclooxygenase inhibitor	TRPV1, CNR1, CNR2, FAAH	Cyclooxygenase inhibitor, FAAH inhibitor, TRPV antagonist
cp	BRD-K06854232	AM-580	Retinoid receptor agonist	RARA	Retinoid receptor agonist
cp	BRD-K63533170	AM-630	Cannabinoid receptor antagonist	CNR2, CNR1	Cannabinoid receptor antagonist
cp	BRD-A11813248	AM-92016	Potassium channel blocker	GRIN1, GRIN2B	Potassium channel blocker
cp	BRD-K43068349	AMG-9810	TRPV antagonist	TRPV1	TRPV antagonist
cp	BRD-K23335153	AMN-082	Glutamate receptor modulator	GRM7	Glutamate receptor modulator, Glutamate receptor positive allosteric modulator
cp	BRD-K74733595	APHA-compound-8	HDAC inhibitor	HDAC8	HDAC inhibitor
cp	BRD-K81729199	AQ-RA741	Acetylcholine receptor antagonist		Acetylcholine receptor antagonist
cp	BRD-K67860401	AR-A014418	Glycogen synthase kinase inhibitor	GSK3B	Glycogen synthase kinase inhibitor
cp	BRD-K40892394	AR-C133057XX	Nitric oxide synthase inhibitor	NOS2, NOS1	Nitric oxide synthase inhibitor
cp	BRD-K93188295	ARC-239	Adrenergic receptor antagonist	ADRA2B, ADRA2A, ADRA2C	Adrenergic receptor antagonist
cp	BRD-A60245366	AS-601245	JNK inhibitor	GSK3B, MAPK10, MAPK8, MAPK9, PIM1	JNK inhibitor
cp	BRD-K63915849	AS-604850	PI3K inhibitor	PIK3CG, PIK3CA	PI3K inhibitor
cp	BRD-K41895714	AS-605240	PI3K inhibitor	MAOB, PIK3CA, PIK3CB, PIK3CD, PIK3CG	PI3K inhibitor
cp	BRD-K89014967	AS-703026	MEK inhibitor	MAP2K1, MAP2K2	MEK inhibitor
cp	BRD-K13390322	AT-7519	CDK inhibitor	CDK2, CDK5, CDK1, CDK4, CDK6, CDK9	CDK inhibitor, Cell cycle inhibitor
cp	BRD-K24576554	AT-9283	JAK inhibitor	AURKA, AURKB, ABL1, BCR, FLT3, JAK2, JAK3, RPS6KA6, STK17A	JAK inhibitor, Aurora kinase inhibitor, ABL inhibitor, BCR-ABL kinase inhibitor, FLT3 inhibitor, Mitotic inhibitor, Protein kinase inhibitor
cp	BRD-A65145453	ATPA	Glutamate receptor agonist	GRIK1, GRIA2	Glutamate receptor agonist
cp	BRD-K10466330	AVA	Nucleophosmin inhibitor		Nucleophosmin inhibitor
cp	BRD-K03642198	AY-9944	Hedgehog pathway modulator		Hedgehog pathway modulator
cp	BRD-K36258877	AZ-10417808	Caspase inhibitor	CASP3	Caspase inhibitor
cp	BRD-K05804044	AZ-628	RAF inhibitor	BRAF, RAF1	RAF inhibitor
cp	BRD-K58772419	AZD-6482	PI3K inhibitor	PIK3CD, PIK3CG, PIK3CA, PIK3CB	PI3K inhibitor
cp	BRD-K46056750	AZD-7762	CHK inhibitor	CHEK1, CHEK2	CHK inhibitor
cp	BRD-K69932463	AZD-8055	MTOR inhibitor	MTOR	MTOR inhibitor
cp	BRD-K93080877	Ala-Ala-Phe-CMK	Tripeptidyl peptidase inhibitor	TPP2	Tripeptidyl peptidase inhibitor
cp	BRD-K40919711	BAPTA-AM	Potassium channel blocker	KCNA3, KCNA5, KCNH2	Potassium channel blocker
cp	BRD-K55991774	BAS-09104376	HIV integrase inhibitor		HIV integrase inhibitor
cp	BRD-A18763547	BAX-channel-blocker	Cytochrome C release inhibitor	BAX	Cytochrome C release inhibitor
cp	BRD-K15025317	BAY-11-7821	NFkB pathway inhibitor	RELA	NFkB pathway inhibitor
cp	BRD-K54704028	BAY-36-7620	Glutamate receptor antagonist	GRM1	Glutamate receptor antagonist
cp	BRD-K18799075	BAY-59-3074	Cannabinoid receptor partial agonist	CNR1, CNR2	Cannabinoid receptor partial agonist
cp	BRD-K14329163	BAY-K8644	Calcium channel activator	CACNA1C	Calcium channel activator, L-type calcium channel activator
cp	BRD-A11007541	BCI-hydrochloride	Protein phosphatase inhibitor	DUSP1, DUSP6	Protein phosphatase inhibitor
cp	BRD-K39111395	BCL2-inhibitor	BCL inhibitor	BCL2	BCL inhibitor
cp	BRD-K17008822	BD-1008	Sigma receptor antagonist		Sigma receptor antagonist
cp	BRD-K36864847	BD-1047	Adrenergic receptor antagonist	SIGMAR1	Adrenergic receptor antagonist
cp	BRD-K29668683	BD-1063	Sigma receptor antagonist	SIGMAR1	Sigma receptor antagonist
cp	BRD-A38913120	BH3I-1	BCL inhibitor	BCL2	BCL inhibitor
cp	BRD-K64890080	BI-2536	PLK inhibitor	PLK1, BRD4, PLK2, PLK3	PLK inhibitor
cp	BRD-K73982490	BI-78D3	JNK inhibitor	MAPK8	JNK inhibitor
cp	BRD-K49294207	BIBU-1361	EGFR inhibitor	EGFR	EGFR inhibitor
cp	BRD-K70914287	BIBX-1382	EGFR inhibitor	EGFR, ERBB2	EGFR inhibitor, Tyrosine kinase inhibitor
cp	BRD-K51967704	BIIB021	HSP inhibitor	AOX1, HSP90AA1	HSP inhibitor
cp	BRD-K26818574	BIX-01294	Histone lysine methyltransferase inhibitor	EHMT1, EHMT2	Histone lysine methyltransferase inhibitor, DNA methyltransferase inhibitor
cp	BRD-K26863634	BIX-01338	Histone lysine methyltransferase inhibitor		Histone lysine methyltransferase inhibitor
cp	BRD-K92817986	BJM-CSC-19	MEK inhibitor		MEK inhibitor
cp	BRD-K94379058	BML-190	Cannabinoid receptor inverse agonist	CNR2	Cannabinoid receptor inverse agonist
cp	BRD-K32584078	BML-257	AKT inhibitor	AKT1	AKT inhibitor, HCV inhibitor
cp	BRD-A77118605	BML-ST330	Phospholipase inhibitor		Phospholipase inhibitor
cp	BRD-K56509348	BMS-182874	Endothelin receptor antagonist	EDNRA	Endothelin receptor antagonist
cp	BRD-K95609758	BMS-191011	Potassium channel activator	KCNMA1	Potassium channel activator
cp	BRD-K02950022	BMS-299897	Gamma secretase inhibitor		Gamma secretase inhibitor
cp	BRD-K13566078	BMS-345541	IKK inhibitor	IKBKB, CHUK	IKK inhibitor
cp	BRD-K34581968	BMS-536924	IGF-1 inhibitor	IGF1R, AKT1, CCNE1, CDK2, CYP3A4, ERBB2, INSR, KDR, LCK, MAPK1, MET, PDGFRA, PDGFRB	IGF-1 inhibitor
cp	BRD-K48923948	BMS-641988	Androgen receptor antagonist	AR	Androgen receptor antagonist
cp	BRD-K13049116	BMS-754807	IGF-1 inhibitor	IGF1R, AKT1	IGF-1 inhibitor
cp	BRD-A15435692	BMY-14802	Sigma receptor antagonist	HTR1A, SIGMAR1	Sigma receptor antagonist
cp	BRD-K84895041	BMY-45778	IP1 prostacyclin receptor agonist	PTGIR	IP1 prostacyclin receptor agonist
cp	BRD-K31054881	BMY-7378	Adrenergic receptor antagonist	HTR1A, ADRA1D, ADRA1A, ADRA1B	Adrenergic receptor antagonist, Serotonin receptor antagonist
cp	BRD-A55484088	BNTX	Opioid receptor antagonist	OPRD1, OPRK1, OPRM1	Opioid receptor antagonist
cp	BRD-K45479396	BP-554	Serotonin receptor agonist	HTR1A	Serotonin receptor agonist
cp	BRD-A80383043	BRD-A80383043	Glutamate receptor agonist	GRM1, GRM2	Glutamate receptor agonist, Glutamate receptor antagonist
cp	BRD-K06817181	BRD-K06817181	JAK inhibitor	JAK2	JAK inhibitor
cp	BRD-K34437622	BRD-K34437622	Thymidylate synthase inhibitor	TYMS	Thymidylate synthase inhibitor
cp	BRD-K34608650	BRD-K34608650	Cannabinoid receptor agonist	CNR2	Cannabinoid receptor agonist
cp	BRD-K41143549	BRD-K41143549	Glutamate receptor antagonist		Glutamate receptor antagonist
cp	BRD-K52219182	BRD-K52219182	Phosphodiesterase inhibitor		Phosphodiesterase inhibitor
cp	BRD-K63784565	BRD-K63784565	Topoisomerase inhibitor	TOP1	Topoisomerase inhibitor
cp	BRD-K64835161	BRD-K64835161	-666	CLK1, CLK4, DYRK1B	-666
cp	BRD-K65285700	BRD-K65285700	Cannabinoid receptor agonist	CNR2	Cannabinoid receptor agonist
cp	BRD-K66782112	BRD-K66782112	Histamine receptor antagonist	HRH2	Histamine receptor antagonist
cp	BRD-K66896231	BRD-K66896231	Acetylcholinesterase inhibitor	ACHE	Acetylcholinesterase inhibitor
cp	BRD-K88742110	BRD-K88742110	HDAC inhibitor	HDAC8, IL1B	HDAC inhibitor
cp	BRD-A51829654	BRL-15572	Serotonin receptor antagonist	HTR1D, HTR1A, HTR1B, HTR1E, HTR1F, HTR2A, HTR2B, HTR2C, HTR6	Serotonin receptor antagonist
cp	BRD-K07507905	BRL-37344	Adrenergic receptor agonist	ADRB3, ADRB1, ADRB2	Adrenergic receptor agonist
cp	BRD-K84266862	BRL-50481	Phosphodiesterase inhibitor	PDE7A, PDE7B	Phosphodiesterase inhibitor
cp	BRD-A37347161	BRL-52537	Opioid receptor agonist	OPRK1	Opioid receptor agonist
cp	BRD-K17868609	BRL-54443	Serotonin receptor agonist	HTR1E, HTR1F	Serotonin receptor agonist
cp	BRD-K55344148	BU-224	Imidazoline receptor ligand	MAOA, MAOB	Imidazoline receptor ligand
cp	BRD-K56115039	BU-226	Imidazoline receptor ligand		Imidazoline receptor ligand
cp	BRD-K11696279	BU-239	Imidazoline receptor agonist		Imidazoline receptor agonist, Imidazoline receptor ligand
cp	BRD-A22713669	BVT-948	Tyrosine phosphatase inhibitor	PTPN1, PTPN11, PTPN2	Tyrosine phosphatase inhibitor
cp	BRD-A17428743	BW-723C86	Serotonin receptor agonist	HTR2B, HTR2A, HTR2C	Serotonin receptor agonist
cp	BRD-A55946879	BW-B70C	Lipoxygenase inhibitor	ALOX5	Lipoxygenase inhibitor
cp	BRD-K47983010	BX-795	IKK inhibitor	PDPK1, CDK2, CHEK1, GSK3B, IKBKE, KDR, PDK1, TBK1	IKK inhibitor
cp	BRD-K49669041	BX-912	Pyruvate dehydrogenase kinase inhibitor	PDPK1, AKT2, CDK2, CHEK1, GSK3B, KDR, PDK1	Pyruvate dehydrogenase kinase inhibitor
cp	BRD-A56020723	CA-074-Me	Cathepsin inhibitor	CTSB	Cathepsin inhibitor
cp	BRD-K91442916	CAM-9-026	Membrane metalloendopeptidase inhibitor		Membrane metalloendopeptidase inhibitor
cp	BRD-A61858259	CAY-10415	Insulin sensitizer	INS	Insulin sensitizer
cp	BRD-K07403598	CAY-10470	NFkB pathway inhibitor	NFKB1, TNF	NFkB pathway inhibitor
cp	BRD-K32836707	CAY-10577	Casein kinase inhibitor		Casein kinase inhibitor
cp	BRD-K54987996	CAY-10578	Casein kinase inhibitor		Casein kinase inhibitor
cp	BRD-K88551539	CAY-10585	HIF modulator	HIF1A	HIF modulator
cp	BRD-K83289131	CAY-10618	NAMPT inhibitor	NAMPT	NAMPT inhibitor
cp	BRD-K15616905	CCCP	Mitochondrial oxidative phosphorylation uncoupler		Mitochondrial oxidative phosphorylation uncoupler
cp	BRD-K06159959	CCMQ	Inhibitor of the binding of homoquinolinic acid to non-NMDA sensitive sites		Inhibitor of the binding of homoquinolinic acid to non-NMDA sensitive sites
cp	BRD-K28907958	CD-437	Retinoid receptor agonist	RARG	Retinoid receptor agonist
cp	BRD-K10870738	CDC	Lipoxygenase inhibitor	ALOX12, ALOX5	Lipoxygenase inhibitor
cp	BRD-K87932577	CDK1-5-inhibitor	CDK inhibitor	CDK1, CDK5, GSK3B	CDK inhibitor, Glycogen synthase kinase inhibitor
cp	BRD-K71860425	CDK2-5-inhibitor	CDK inhibitor	CDK2, CDK5	CDK inhibitor
cp	BRD-K64341947	CFM-1571	Guanylate cyclase activator		Guanylate cyclase activator
cp	BRD-K84085265	CG-930	JNK inhibitor	MAPK8	JNK inhibitor
cp	BRD-A50737080	CGK-733	ATR kinase inhibitor	ATM, ATR	ATR kinase inhibitor
cp	BRD-A34706053	CGP-12177	Adrenergic receptor agonist	ADRB1, ADRB2, ADRB3	Adrenergic receptor agonist
cp	BRD-K95851186	CGP-13501	GABA receptor modulator	GABBR1	GABA receptor modulator
cp	BRD-A31575449	CGP-20712	Adrenergic receptor antagonist	ADRB1, ADRB3	Adrenergic receptor antagonist
cp	BRD-A35623999	CGP-37157	L-type calcium channel blocker	SLC8A1	L-type calcium channel blocker, Mitochondrial Na+/Ca2+ exchanger antagonist, Sodium/calcium exchange inhibitor
cp	BRD-A04668240	CGP-52432	GABA receptor antagonist	GABBR1, GABBR2	GABA receptor antagonist
cp	BRD-K32292990	CGP-53353	EGFR inhibitor	EGFR, PRKCB	EGFR inhibitor, PKC inhibitor
cp	BRD-A55369275	CGP-54626	GABA receptor antagonist	GABBR1, GABBR2, KCTD12, KCTD16, KCTD8	GABA receptor antagonist
cp	BRD-A89672324	CGP-55845	GABA receptor antagonist	GABBR1, GABBR2, KCTD12, KCTD16, KCTD8	GABA receptor antagonist
cp	BRD-K42500029	CGP-57380	MAP kinase inhibitor	AURKB, LCK, MKNK1, MKNK2, SGK1	MAP kinase inhibitor
cp	BRD-K79090631	CGP-60474	CDK inhibitor	CDK1, CDK2	CDK inhibitor
cp	BRD-K31912990	CGP-71683	Neuropeptide receptor antagonist	NPY5R	Neuropeptide receptor antagonist
cp	BRD-K65786282	CGP-7930	GABA receptor modulator	GABBR1	GABA receptor modulator, GABA receptor positive allosteric modulator
cp	BRD-K18909381	CGS-12066B	Serotonin receptor agonist	HTR1B, HTR1A, HTR1D, HTR2A, HTR2B, HTR2C	Serotonin receptor agonist
cp	BRD-K49049886	CGS-15943	Adenosine receptor antagonist	ADORA1, ADORA2A, ADORA2B, ADORA3	Adenosine receptor antagonist
cp	BRD-K68103045	CGS-20625	Benzodiazepine receptor agonist	GABRA1, GABRA2, GABRA3, GABRA5	Benzodiazepine receptor agonist, GABA benzodiazepine site receptor partial agonist
cp	BRD-A81866333	CGS-21680	Adenosine receptor agonist	ADORA2A, ADORA1, ADORA2B, ADORA3	Adenosine receptor agonist
cp	BRD-K59962020	CHEMBL-374350	NFkB pathway inhibitor		NFkB pathway inhibitor
cp	BRD-K67680372	CI-966	GAT inhibitor	SLC6A1	GAT inhibitor
cp	BRD-K53263234	CITCO	CAR agonist	NR1I3	CAR agonist
cp	BRD-K00662280	CL-218872	GABA receptor agonist	GABRA1, GABRA2, GABRA3, GABRA5, GABRB2, GABRG2	GABA receptor agonist
cp	BRD-K00675675	CL-82198	Metalloproteinase inhibitor	MMP13	Metalloproteinase inhibitor
cp	BRD-K54095730	CMPD-1	p38 MAPK inhibitor	GNRHR, MAPK14	p38 MAPK inhibitor
cp	BRD-K53545112	CNQX	Glutamate receptor antagonist	GRIA1, GRIA2, GRIA3, GRIA4	Glutamate receptor antagonist
cp	BRD-K55677650	CO-101244	Ionotropic glutamate receptor antagonist	GRIN2B	Ionotropic glutamate receptor antagonist
cp	BRD-K08890269	CO-102862	Sodium channel blocker	SCN2A, SCN4A, SCN9A	Sodium channel blocker
cp	BRD-A03816571	CP-55940	Cannabinoid receptor agonist	CNR1, CNR2, CXCR4, GPR55	Cannabinoid receptor agonist
cp	BRD-K76908866	CP-724714	EGFR inhibitor	ERBB2	EGFR inhibitor, Receptor tyrosine protein kinase inhibitor, Tyrosine kinase inhibitor
cp	BRD-K81876028	CP-93129	Serotonin receptor agonist	HTR1A, HTR1B	Serotonin receptor agonist
cp	BRD-K33860217	CP-94253	Serotonin receptor agonist	HTR1B	Serotonin receptor agonist
cp	BRD-K15592317	CP466722	ATM kinase inhibitor	ATM	ATM kinase inhibitor
cp	BRD-A18202423	CPCCOEt	Glutamate receptor antagonist	GRM1	Glutamate receptor antagonist
cp	BRD-K15519488	CS-110266	Dopamine receptor agonist	SLC6A3	Dopamine receptor agonist
cp	BRD-K50214219	CS-1657	PARP inhibitor	PARP1	PARP inhibitor
cp	BRD-A64933752	CV-1808	Adenosine receptor agonist	ADORA2A, ADORA2B	Adenosine receptor agonist
cp	BRD-K95992530	Cyclo-[Arg-Gly-Asp-D-Phe-Val]	integrin antagonist	ITGAV, ITGB3	integrin antagonist
cp	BRD-K09132007	D-4476	TGF beta receptor inhibitor	CSNK1A1, CSNK1D, TGFB1	TGF beta receptor inhibitor
cp	BRD-K27665173	D-64406	PDGFR receptor inhibitor	FLT3, PDGFRA, PDGFRB	PDGFR receptor inhibitor
cp	BRD-A68929948	DAPT-GSI-IX	Gamma secretase inhibitor		Gamma secretase inhibitor
cp	BRD-K31633810	DAU-5884	Acetylcholine receptor antagonist	CHRM1, CHRM3	Acetylcholine receptor antagonist
cp	BRD-K32526544	DCEBIO	Potassium channel activator	KCNN2, KCNN3, KCNN4	Potassium channel activator
cp	BRD-A39255369	DCPIB	Chloride channel blocker	SLC1A2	Chloride channel blocker, Gap junction modulator, Glutamate inhibitor
cp	BRD-K06014311	DH-97	Melatonin receptor antagonist	MTNR1B	Melatonin receptor antagonist
cp	BRD-K05653692	DL-PDMP	Glucosyltransferase inhibitor	ASAH1, UGCG	Glucosyltransferase inhibitor
cp	BRD-K26573499	DMAB-anabaseine	Adrenergic receptor agonist	CHRNA7	Adrenergic receptor agonist
cp	BRD-K96084870	DMBI	PDGFR receptor inhibitor	PDGFRB	PDGFR receptor inhibitor, VEGFR inhibitor
cp	BRD-K31699485	DMEOB	glutamate receptor modulator		glutamate receptor modulator
cp	BRD-K89274813	DMP-543	Acetylcholine release stimulant		Acetylcholine release stimulant
cp	BRD-K85266041	DNQX	Glutamate receptor antagonist	GRIA1, GRIA2, GRIK1, GRIN1, GRIN2A, GRIN2B	Glutamate receptor antagonist
cp	BRD-A27143604	DPN	Estrogen receptor agonist	ESR2	Estrogen receptor agonist
cp	BRD-K99922388	DPO-1	Potassium channel blocker	KCNA5	Potassium channel blocker
cp	BRD-K80315159	DPPE	Histamine receptor antagonist	ABCB1, HRH1	Histamine receptor antagonist
cp	BRD-K94920105	DR-2313	PARP inhibitor	PARP1, PARP3	PARP inhibitor
cp	BRD-K06221026	DUP-697	Cyclooxygenase inhibitor	PTGS2	Cyclooxygenase inhibitor
cp	BRD-K62353524	DY-131	Estrogen receptor agonist	ESR2, ESRRB, ESRRG	Estrogen receptor agonist
cp	BRD-K41713976	E-4031	Potassium channel blocker	KCNH2, KCNH1	Potassium channel blocker
cp	BRD-A96485169	EBPC	Aldose reductase inhibitor	AKR1B1	Aldose reductase inhibitor
cp	BRD-K27450477	EHNA	Adenosine deaminase inhibitor	ADA, PDE2A, ADORA2A	Adenosine deaminase inhibitor
cp	BRD-A74904029	EI-231	Casein kinase inhibitor	CSNK2A1, CSNK2A2, CSNK2B	Casein kinase inhibitor
cp	BRD-K32710582	EI-247	IGF-1 inhibitor	INSR	IGF-1 inhibitor
cp	BRD-K56064827	EI-273	PKC inhibitor	PRKCA, PRKCG	PKC inhibitor
cp	BRD-U08759356	EI-346-erlotinib-analog	EGFR inhibitor	EGFR	EGFR inhibitor
cp	BRD-K47659338	EMD-386088	Serotonin receptor agonist	HTR6	Serotonin receptor agonist
cp	BRD-K88759641	EMD-66684	Angiotensin receptor antagonist	AGTR1	Angiotensin receptor antagonist
cp	BRD-K11540476	EMF-BCA1-64	Caspase inhibitor	CASP3	Caspase inhibitor
cp	BRD-K64610608	EMF-bca1-57	caspase inhibitor	CASP3	caspase inhibitor
cp	BRD-K68437527	EMF-bca1-60	caspase inhibitor		caspase inhibitor
cp	BRD-K68488863	ENMD-2076	FLT3 inhibitor	AURKA, FLT3, KDR, PDGFRA, SRC, CSF1R, EPHA1, FGFR1, FGFR2, FGFR3, FLT4, KIT, PTK2	FLT3 inhibitor, VEGFR inhibitor, Aurora kinase inhibitor
cp	BRD-K42452249	EO-1428	p38 MAPK inhibitor	MAPK11, MAPK14	p38 MAPK inhibitor
cp	BRD-K11927976	ER-27319	Mediator release inhibitor	SYK	Mediator release inhibitor, SYK inhibitor
cp	BRD-K78633253	EXO-1	ARF inhibitor		ARF inhibitor
cp	BRD-K14821540	FCCP	Mitochondrial oxidative phosphorylation uncoupler		Mitochondrial oxidative phosphorylation uncoupler
cp	BRD-K61951118	FG-7142	GABA benzodiazepine site receptor inverse agonist		GABA benzodiazepine site receptor inverse agonist
cp	BRD-K09778810	FGIN-1-27	Inositol monophosphatase inhibitor	TSPO	Inositol monophosphatase inhibitor
cp	BRD-K66093087	FGIN-1-43	Benzodiazepine receptor agonist	TSPO	Benzodiazepine receptor agonist
cp	BRD-K17896185	FIT	Opioid receptor agonist	OPRD1	Opioid receptor agonist
cp	BRD-K83508485	FK-888	Tachykinin antagonist	TACR1, TACR2	Tachykinin antagonist
cp	BRD-A96456596	FPL-55712	Leukotriene receptor antagonist		Leukotriene receptor antagonist
cp	BRD-K78959463	FPL-64176	Calcium channel activator	CACNA1C, CACNA1S	Calcium channel activator
cp	BRD-K30990140	FR-122047	Cyclooxygenase inhibitor		Cyclooxygenase inhibitor
cp	BRD-A80641450	FR-139317	Endothelin receptor antagonist	EDNRA	Endothelin receptor antagonist
cp	BRD-K68756823	FR-180204	-666	MAPK1, MAPK3	-666
cp	BRD-K75532464	FTI-276	Farnesyltransferase inhibitor	FNTA, FNTB	Farnesyltransferase inhibitor
cp	BRD-K04877770	FTase-inhibitor-B581	Farnesyltransferase inhibitor		Farnesyltransferase inhibitor
cp	BRD-K64451768	GANT-58	GLI antagonist	DHH, GLI1, IHH	GLI antagonist
cp	BRD-K09485525	GANT-61	GLI antagonist	DHH, IHH	GLI antagonist
cp	BRD-K92015269	GBR-12783	Dopamine uptake inhibitor		Dopamine uptake inhibitor
cp	BRD-K50135270	GBR-12935	Dopamine uptake inhibitor	AGTR1, SLC6A3	Dopamine uptake inhibitor
cp	BRD-K11634954	GBR-13069	Dopamine uptake inhibitor	SLC6A3	Dopamine uptake inhibitor
cp	BRD-K67578145	GDC-0879	RAF inhibitor	BRAF	RAF inhibitor
cp	BRD-K52911425	GDC-0941	PI3K inhibitor	PIK3CG, PIK3CA, PIK3CB, PIK3CD	PI3K inhibitor
cp	BRD-K50891186	GR-103691	Dopamine receptor antagonist		Dopamine receptor antagonist
cp	BRD-K49945136	GR-113808	Serotonin receptor antagonist	HTR4	Serotonin receptor antagonist
cp	BRD-K11911061	GR-127935	Serotonin receptor antagonist	HTR1B, HTR1D, HTR1A, HTR2A, HTR2C, HTR1E, HTR1F, HTR2B, HTR6	Serotonin receptor antagonist
cp	BRD-K83023055	GR-135531	Melatonin receptor agonist		Melatonin receptor agonist
cp	BRD-K12120659	GR-144053	Integrin antagonist	ITGB3, ITGA2B	Integrin antagonist
cp	BRD-K52394958	GR-159897	Tachykinin antagonist	TACR2, TAC1	Tachykinin antagonist
cp	BRD-K00184207	GR-206	Aryl hydrocarbon receptor ligand		Aryl hydrocarbon receptor ligand
cp	BRD-K26674531	GR-235	Estrogen receptor agonist	ESR1, IKBKB, NR1H4, NR1I2, PGR	Estrogen receptor agonist, FXR antagonist, Progesterone receptor agonist
cp	BRD-K02283807	GR-32191	Thromboxane receptor antagonist	TBXA2R	Thromboxane receptor antagonist
cp	BRD-K68190965	GR-46611	Serotonin receptor agonist	HTR1D	Serotonin receptor agonist
cp	BRD-K46441700	GR-55562	Serotonin receptor antagonist	HTR1B, HTR1D	Serotonin receptor antagonist
cp	BRD-K40578143	GR-79236	Adenosine receptor agonist	ADORA1, ADORA2A	Adenosine receptor agonist
cp	BRD-A93659613	GR-89696	Opioid receptor agonist	OPRK1	Opioid receptor agonist
cp	BRD-K75478907	GS-39783	GABA receptor modulator	GABBR1	GABA receptor modulator
cp	BRD-K98684188	GSK-0660	PPAR receptor antagonist	PPARD	PPAR receptor antagonist
cp	BRD-K06750613	GSK-1059615	PI3K inhibitor	PIK3CA, PIK3CG	PI3K inhibitor
cp	BRD-K36740062	GSK-1070916	Aurora kinase inhibitor	AURKB, AURKC, AURKA, CYP2D6, CYP3A4	Aurora kinase inhibitor
cp	BRD-K04833372	GSK-1904529A	IGF-1 inhibitor	IGF1R, INSR	IGF-1 inhibitor, IGF-1R inhibitor, Insulin receptor ligand
cp	BRD-K09991945	GSK-3-inhibitor-II	PKC inhibitor	GSK3B	PKC inhibitor
cp	BRD-K04923131	GSK-3-inhibitor-IX	Glycogen synthase kinase inhibitor	ALOX5, GSK3A, GSK3B	Glycogen synthase kinase inhibitor, Lipoxygenase inhibitor
cp	BRD-A10523515	GSK-429286A	Rho associated kinase inhibitor	ROCK1	Rho associated kinase inhibitor
cp	BRD-K92428232	GSK-461364	PLK inhibitor	PLK1	PLK inhibitor
cp	BRD-K16664969	GTP-14564	FLT3 inhibitor	FLT3, CSF1R, KIT, PDGFRB	FLT3 inhibitor, Tyrosine kinase inhibitor
cp	BRD-K82983861	GW-0742	PPAR receptor agonist	INS, PPARD	PPAR receptor agonist, Insulin sensitizer
cp	BRD-A15415227	GW-1929	PPAR receptor agonist	INS, PPARG	PPAR receptor agonist, Insulin sensitizer
cp	BRD-A38898897	GW-311616	Leukocyte elastase inhibitor	ELANE	Leukocyte elastase inhibitor
cp	BRD-K33818169	GW-3965	LXR agonist	NR1H2, NR1H3, ABCA1	LXR agonist, ABC transporter expression enhancer
cp	BRD-K10705233	GW-405833	Cannabinoid receptor agonist	CNR2	Cannabinoid receptor agonist
cp	BRD-K64245000	GW-4064	FXR agonist	NR1H4	FXR agonist
cp	BRD-K04146668	GW-441756	Growth factor receptor inhibitor	LRRK2, NTRK1	Growth factor receptor inhibitor
